material_id,formula,transition_metal,energy_above_hull,volume,density,band_gap,is_stable,is_metal
mp-1009218,MoC,Mo,0.584724018124998,25.934781194207627,6.911812886522366,0.0,False,True
mp-2305,MoC,Mo,0.0,20.711815752316795,8.654787055413566,0.0,True,True
mp-2746,MoC,Mo,0.2983982531250007,21.05198556948258,8.514938140899933,0.0,False,True
mp-15798,MoC,Mo,0.2550125239583316,126.15712305523908,8.525385671109817,0.0,False,True
mp-567925,MoC,Mo,0.21468779562499662,84.79430353084796,8.456056475635732,0.0,False,True
mp-1221498,Mo2C,Mo,0.06276392999999914,37.520774650224794,9.023493685715215,0.0,False,True
mp-1552,Mo2C,Mo,0.0,149.10320288570614,9.082795448706058,0.0,True,True
mp-571589,Mo2C,Mo,0.6580022166666666,39.53499603280984,8.563766462970454,0.0,False,True
mp-1221473,Mo3C2,Mo,0.13346324724999903,59.04830829377281,8.769511658665394,0.0,False,True
mp-1221489,Mo3C2,Mo,0.16274203724999836,118.53350585355408,8.737189105778615,0.0,False,True
mp-1221488,Mo4C3,Mo,0.19386667464285878,80.69122640407672,8.63887207988641,0.0,False,True
mp-1009848,TcC,Tc,0.5580503837500004,24.866305902009255,7.3463692624515105,0.0,False,True
mp-1009837,TcC,Tc,0.6506215037499992,20.436626,8.938709616217343,0.0,False,True
mp-1187391,Tc3C,Tc,1.045193819375001,101.07144792052141,10.05511909272618,0.0,False,True
mp-999259,RuC,Ru,0.36613302375000245,42.234733319798046,8.891966660189613,0.0,False,True
mp-1009792,RuC,Ru,0.4538444662500005,23.799649297276936,7.889818792930964,0.6632999999999996,False,False
mp-1009787,RuC,Ru,0.9096720512499985,20.182277801705478,9.303950829323838,0.0,False,True
mp-10030,RuC,Ru,0.6494276712500024,20.0223166388542,9.378281428555383,0.0,False,True
mp-1009652,RhC,Rh,1.1017102962500012,20.660470667805676,9.236132265330019,0.0,False,True
mp-1009696,RhC,Rh,0.5606591462499999,24.35702404772268,7.834407002183254,0.0,False,True
mp-1009533,PdC,Pd,1.48726345625,21.882096000000004,8.987201423005537,0.0,False,True
mp-1009538,PdC,Pd,1.216097716250001,26.350550385680197,7.46317634474971,0.0,False,True
mp-1008653,AgC,Ag,2.236464982916667,25.425236687373022,7.829370457267562,0.0,False,True
mp-1008912,AgC,Ag,2.258682377916667,30.270417600511994,6.576176107520458,0.0,False,True
mp-1183141,AgC,Ag,2.2458094129166675,60.85690681527137,6.542021519214017,0.0,False,True
mp-1214982,AgC6,Ag,1.388995832619047,170.20499046953026,1.7554407725667054,0.0,False,True
mp-1006882,CdC,Cd,2.1085791462499994,34.88227928998691,5.92298147015728,0.0,False,True
mp-1006887,CdC,Cd,1.9901083212500001,28.63115212259255,7.216164162266176,0.0,False,True
mp-1183628,CdC,Cd,1.9904648112499999,67.13000471719012,6.155432127313324,0.0,False,True
mp-1183622,Cd3C,Cd,1.2200676156249983,72.61902062536238,7.985962953370271,0.0,False,True
mp-1001925,LaC,La,0.7054219874999994,39.40858698204992,6.359075917411562,0.0,False,True
mp-1223019,LaC2,La,0.05556377666666634,52.97389035041498,5.107165647495822,0.0,False,True
mp-2367,LaC2,La,0.0,51.263938958448335,5.277519412449744,0.0,True,True
mp-1184,La2C3,La,0.007000589833328519,343.80538860036717,6.063297978547921,0.0,False,True
mp-1002124,HfC,Hf,0.6414220250000007,32.05576538618289,9.868235906884902,0.29520000000000035,False,False
mp-1001918,HfC,Hf,1.339074055000001,24.294560120634756,13.020768988442304,0.0,False,True
mp-1008832,HfC,Hf,0.7634334299999992,26.36322430068467,11.999057907283094,0.0,False,True
mp-1096993,HfC,Hf,0.19715249250000255,50.34989150627815,12.56542350114754,0.0,False,True
mp-21075,HfC,Hf,0.0,24.88205055427952,12.713335434976889,0.0,True,True
mp-976422,Hf3C,Hf,1.3237322124999977,70.40795376827461,12.912079433833943,0.0,False,True
mp-1009832,TaC,Ta,0.5182955350000036,28.319929701592955,11.314126276072724,0.0,False,True
mp-1009835,TaC,Ta,1.0325644500000024,21.88731308281059,14.639314545418843,0.0,False,True
mp-1009817,TaC,Ta,0.41246863499999975,23.321664772007964,13.738953196767776,0.0,False,True
mp-1086,TaC,Ta,0.0,22.295634443676896,14.37121072211497,0.0,True,True
mp-1217774,Ta2C,Ta,2.322597976666671,46.85904991661576,13.25008266399812,0.0,False,True
mp-7088,Ta2C,Ta,0.0,41.50315301585372,14.95997869642342,0.0,True,True
mp-1187218,Ta3C,Ta,1.427167169999997,120.89895343687837,15.241774770380685,0.0,False,True
mp-1218120,Ta3C2,Ta,0.005637808499997732,255.9925521984494,14.70826455912181,0.0,False,True
mp-1025192,Ta4C3,Ta,0.13371323714285666,87.84107819304211,14.363630689111512,0.0,False,True
mp-1218000,Ta4C3,Ta,0.03350051428571277,86.28493650099455,14.622677580387172,0.0,False,True
